Grupo de Prioridade;Cenário;Identificador;Grupo de Processo;Unidade de Negócio;Área de Negócio;Lider do Cenário;Meu Envolvimento;Situação x Planejamento;Qtde. Execuções Concluídas;Status
P1;AGENDAMENTO DE DESCARGA E VERIFICAÇÃO DE DOCUMENTO PARA RECEBIMENTO - 0301_12 MAIS_FRA 0001 MIRAGUA;MAIS_FRANGO.PTM.0611.V1;Compras ao Recebimento;MAIS FRANGO MIRAGUAI LTDA;Produção;Kelvin Junior;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;AGENDAMENTO DE DESCARGA E VERIFICAÇÃO DE DOCUMENTO PARA RECEBIMENTO - 0303_02 MAIS_FRA 0003 MIRAGUA;MAIS_FRANGO.PTM.0605.V1;Compras ao Recebimento;MAIS FRANGO MIRAGUAI LTDA;Produção;Kelvin Junior;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;AGENDAMENTO DE DESCARGA E VERIFICAÇÃO DE DOCUMENTO PARA RECEBIMENTO - 0402_02 PLUSV_AGRO 0002 UMUAR;PLUSVAL.PTM.1282.V1;Compras ao Recebimento;PLUSVAL AGROAVICOLA LTDA;Produção;Kelvin Junior;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;AGENDAMENTO DE DESCARGA E VERIFICAÇÃO DE DOCUMENTO PARA RECEBIMENTO - 0405_02 PLUSV_AGRO 0005 CASCA;PLUSVAL.PTM.1278.V1;Compras ao Recebimento;PLUSVAL AGROAVICOLA LTDA;Produção;Kelvin Junior;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;AGENDAMENTO DE DESCARGA E VERIFICAÇÃO DE DOCUMENTO PARA RECEBIMENTO - 0406_12 PLUSV_AGRO 0006 CAPAN;PLUSVAL.PTM.1285.V1;Compras ao Recebimento;PLUSVAL AGROAVICOLA LTDA;Produção;Kelvin Junior;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;AGENDAMENTO DE DESCARGA E VERIFICAÇÃO DE DOCUMENTO PARA RECEBIMENTO - 0409_12 PLUSV_AGRO 0009 TUPAS;PLUSVAL.PTM.1281.V1;Compras ao Recebimento;PLUSVAL AGROAVICOLA LTDA;Produção;Kelvin Junior;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;AGENDAMENTO DE DESCARGA E VERIFICAÇÃO DE DOCUMENTO PARA RECEBIMENTO - 0504_02 CASS_AGRO 0004 CASSIL;CASSILANDIA.PTM.0173.V1;Compras ao Recebimento;CASSILANDIA AGROAVICOLA LTDA;Produção;Kelvin Junior;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;AGENDAMENTO DE DESCARGA E VERIFICAÇÃO DE DOCUMENTO PARA RECEBIMENTO - 1004_02 AST_COM 0004 ITAPUI S;ASTRA.PTM.0339.V1;Compras ao Recebimento;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Produção;Kelvin Junior;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;AGENDAMENTO DE DESCARGA E VERIFICAÇÃO DE DOCUMENTO PARA RECEBIMENTO - 1004_12 AST_COM 0004 ITAPUI S;ASTRA.PTM.0345.V1;Compras ao Recebimento;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Produção;Kelvin Junior;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;AGENDAMENTO DE DESCARGA E VERIFICAÇÃO DE DOCUMENTO PARA RECEBIMENTO - 1005_02 AST_COM 0005 ITAPUI S;ASTRA.PTM.0343.V1;Compras ao Recebimento;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Produção;Kelvin Junior;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;AGENDAMENTO DE DESCARGA E VERIFICAÇÃO DE DOCUMENTO PARA RECEBIMENTO - 1201_02 MAR_TERRA 0001 ITAPOR;MAR_E_TERRA.PTM.0544.V1;Compras ao Recebimento;MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;Produção;Kelvin Junior;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;AGENDAMENTO DE DESCARGA E VERIFICAÇÃO DE DOCUMENTO PARA RECEBIMENTO - 1301_02 RAC_DRMX 0001 DOURADO;DOURAMIX.PTM.0118.V1;Compras ao Recebimento;RACOES DOURAMIX LTDA;Produção;Kelvin Junior;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;AJUSTE DE ESTOQUE RAÇÃO (PRODUTO ACABADO) - 0017_02 PLU_AGRO 0017 TAMBAU SP FABRICA DE RACAO;PLUMA_AGRO.GESTQ.0055.V11;Gestão de Estoques;PLUMA AGROAVICOLA LTDA;Produção;Kelvin Junior;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
